application_type,case_received_date,decision_date,case_status,class_of_admission,employer_name,employer_city,employer_state,employer_country,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_state,job_info_work_city,job_info_work_state
PERM,19-11-2013,29-05-2015,Certified,H-1B,GENERAC POWER SYSTEMS,WAUKESHA,WISCONSIN,UNITED STATES OF AMERICA,INDIA,WAUKESHA,Bachelor's,WISCONSIN,Waukesha,WISCONSIN
PERM,12-11-2013,26-06-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,ANSAN-SI,None,,Itta Bena,MISSISSIPPI
PERM,27-11-2013,16-10-2014,Denied,H-1B,"AVIDITY, LLC",AURORA,COLORADO,UNITED STATES OF AMERICA,GERMANY,DENVER,Doctorate,COLORADO,Aurora,COLORADO
PERM,13-11-2013,26-05-2015,Certified,E-2,STAR COMMUNICATIONS LLC,LYNNWOOD,WASHINGTON,UNITED STATES OF AMERICA,SOUTH KOREA,BELLEVUE,Master's,WASHINGTON,Lynnwood,WASHINGTON
PERM,12-11-2013,26-06-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,15-11-2013,28-05-2015,Certified,F-1,SANSU CORPORATION,EAST LANSING,MICHIGAN,UNITED STATES OF AMERICA,SOUTH KOREA,OKEMOS,None,MICHIGAN,East Lansing,MICHIGAN
PERM,02-07-2014,01-12-2014,Certified-Expired,H-1B,TALBERT & TALBERT LLC,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,CANADA,NEW YORK,Bachelor's,NEW YORK,New York,NEW YORK
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,WONJU-SI,None,,Itta Bena,MISSISSIPPI
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,JEJU-SI,None,,Itta Bena,MISSISSIPPI
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,TOKYO,None,,Itta Bena,MISSISSIPPI
PERM,13-11-2013,30-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,SMYRNA,Bachelor's,GEORGIA,College Station,TEXAS
PERM,02-01-2014,12-06-2015,Certified,,"OBJECT TECHNOLOGY SOLUTIONS, INC",OVERLAND PARK,KANSAS,UNITED STATES OF AMERICA,INDIA,OVERLAND PARK,Bachelor's,KANSAS,Overland Park,KANSAS
PERM,13-11-2013,28-05-2015,Certified,H-1B,"GREEN EARTH FUELS OF HOUSTON, LLC.",GALENA PARK,TEXAS,UNITED STATES OF AMERICA,BRAZIL,HOUSTON,Bachelor's,TEXAS,Galena Park,TEXAS
PERM,13-11-2013,11-05-2015,Certified,Not in USA,"IH SERVICES, INC.",GREENVILLE,SOUTH CAROLINA,UNITED STATES OF AMERICA,CHINA,JIANGMEN,None,,Charleston,SOUTH CAROLINA
PERM,13-11-2013,30-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,PLAINSBORO,Bachelor's,NEW JERSEY,College Station,TEXAS
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,15-11-2013,13-05-2015,Certified,L-1,"EPAM SYSTEMS, INC",NEWTOWN,PENNSYLVANIA,UNITED STATES OF AMERICA,UKRAINE,MOUNTAIN VIEW,Master's,CALIFORNIA,Mountain View,CALIFORNIA
PERM,14-11-2013,20-05-2015,Certified,H-1B,APPLEXUS TECHNOLOGIES LLC,FEDERAL WAY,WASHINGTON,UNITED STATES OF AMERICA,INDIA,MONTVALE,Bachelor's,NEW JERSEY,FEDERAL WAY,WASHINGTON
PERM,30-06-2014,11-09-2015,Certified,H-1B,"ARRAY NETWORKS, INC.",MILPITAS,CALIFORNIA,UNITED STATES OF AMERICA,CHINA,SAN JOSE,Master's,CALIFORNIA,Milpitas,CALIFORNIA
PERM,11-11-2013,20-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,18-11-2013,26-05-2015,Certified,H-1B,"HUNT CONSOLIDATED, INC.",DALLAS,TEXAS,UNITED STATES OF AMERICA,INDIA,DALLAS,Master's,TEXAS,Dallas,TEXAS
PERM,04-12-2013,09-06-2015,Certified,H-1B,RGA REINSURANCE,CHESTERFIELD,MISSOURI,UNITED STATES OF AMERICA,CHINA,CHESTERFIELD,Master's,MISSOURI,Chesterfield,MISSOURI
PERM,22-11-2013,20-05-2015,Certified,L-1,"SAP AMERICA, INC.",NEWTOWN SQUARE,PENNSYLVANIA,UNITED STATES OF AMERICA,GERMANY,WEST CHESTER,Bachelor's,PENNSYLVANIA,Newtown Square,PENNSYLVANIA
PERM,30-12-2013,11-06-2015,Certified,F-1,"DOUBLEBRIDGE TECHNOLOGIES, INC.",PRINCETON,NEW JERSEY,UNITED STATES OF AMERICA,PAKISTAN,GERMANTOWN,Bachelor's,MARYLAND,Princeton,NEW JERSEY
PERM,03-12-2013,03-06-2015,Certified,Parolee,QUALCOMM TECHNOLOGIES INC.,SAN DIEGO,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,NORTHBOROUGH,Master's,MASSACHUSETTS,Boxborough,MASSACHUSETTS
PERM,13-01-2014,23-06-2015,Certified,H-1B,"BLAND FARMS, LLC",GLENNVILLE,GEORGIA,UNITED STATES OF AMERICA,GUATEMALA,GLENNVILLE,Bachelor's,GEORGIA,Glennville,GEORGIA
PERM,14-11-2013,01-04-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,HERNDON,Bachelor's,VIRGINIA,College Station,TEXAS
PERM,19-10-2014,10-03-2015,Certified-Expired,H-1B,TOWERS WATSON PENNSYLVANIA INC.,PHILADELPHIA,PENNSYLVANIA,UNITED STATES OF AMERICA,CHINA,EVANSTON,Master's,ILLINOIS,Chicago,ILLINOIS
PERM,21-10-2009,19-05-2015,Denied,,PORTA VIA INC.,BEVERLY,CALIFORNIA,UNITED STATES OF AMERICA,MEXICO,LOS ANGELES,None,CALIFORNIA,Beverly Hills,CALIFORNIA
PERM,14-11-2013,01-04-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,SOMERSET,Other,NEW JERSEY,College Station,TEXAS
PERM,13-11-2013,01-09-2015,Certified,H-1B,"SMART SWITCH, LLC",RALEIGH,NORTH CAROLINA,UNITED STATES OF AMERICA,INDIA,ALPHARETTA,Master's,GEORGIA,RALEIGH,NORTH CAROLINA
PERM,11-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,11-11-2013,20-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,31-08-2009,10-09-2015,Denied,E-1,"MARATHON LINE N.Y., INC.",NEW YORK,NEW YORK,UNITED STATES OF AMERICA,TURKEY,NEW YORK,Master's,NEW YORK,New York,NEW YORK
PERM,06-10-2014,03-03-2015,Certified-Expired,H-1B,WASHINGTON STATE UNIVERSITY,PULLMAN,WASHINGTON,UNITED STATES OF AMERICA,ARGENTINA,PULLMAN,Doctorate,WASHINGTON,Pullman,WASHINGTON
PERM,10-02-2014,16-07-2015,Certified,H-1B,MEREDITH COLLEGE,RALEIGH,NORTH CAROLINA,UNITED STATES OF AMERICA,CHINA,EDEN PRAIRIE,Master's,MINNESOTA,Raleigh,NORTH CAROLINA
PERM,13-11-2013,30-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,FREMONT,Bachelor's,CALIFORNIA,College Station,TEXAS
PERM,28-09-2010,27-03-2015,Certified-Expired,H-1B,PERITUS INC,IRVING,TEXAS,UNITED STATES OF AMERICA,INDIA,TAMPA,Master's,FLORIDA,Irving,TEXAS
PERM,14-11-2013,01-04-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,PROSPECT HEIGHTS,Master's,ILLINOIS,College Station,TEXAS
PERM,11-06-2008,03-06-2015,Denied,,DI PRATO LANDSCAPING,NORTH WALES,PENNSYLVANIA,UNITED STATES OF AMERICA,ECUADOR,CUCUA,High School,,NORTH WALES,PENNSYLVANIA
PERM,13-11-2013,12-05-2015,Certified,,"HOT PANDEYUCA & COMPANY, INC.",MIAMI,FLORIDA,UNITED STATES OF AMERICA,COLOMBIA,MEDELLIN,Associate's,,Miami,FLORIDA
PERM,11-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,INCHEON,None,,Itta Bena,MISSISSIPPI
PERM,11-11-2013,19-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,JECHEON-SI,None,,Itta Bena,MISSISSIPPI
PERM,11-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,GOSUNG-GUN,None,,Itta Bena,MISSISSIPPI
PERM,04-12-2013,11-06-2015,Certified,L-1,"APPLIED MATERIALS, INC.",SANTA CLARA,CALIFORNIA,UNITED STATES OF AMERICA,FRANCE,MALTA,Other,NEW YORK,Malta,NEW YORK
PERM,18-11-2013,28-05-2015,Certified,H-1B,VST CONSULTING INC,ISELIN,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,MADISON,Master's,WISCONSIN,Iselin,NEW JERSEY
PERM,13-11-2013,20-05-2015,Certified,H-1B,"HOKUTO USA, INC.",GROVE CITY,OHIO,UNITED STATES OF AMERICA,JAPAN,DUBLIN,Bachelor's,OHIO,Grove City,OHIO
PERM,12-11-2013,21-05-2015,Certified,H-1B,EXELON WIND LLC,WEST DES MOINES,IOWA,UNITED STATES OF AMERICA,INDIA,WAUKEE,Bachelor's,IOWA,West Des Moines,IOWA
PERM,10-12-2013,08-06-2015,Certified,H-1B,"LHP SOFTWARE, LLC",COLUMBUS,INDIANA,UNITED STATES OF AMERICA,CHINA,COLUMBUS,Master's,INDIANA,Columbus,INDIANA
PERM,27-11-2013,13-05-2015,Certified,H-1B,LINKEDIN CORPORATION,MOUNTAIN VIEW,CALIFORNIA,UNITED STATES OF AMERICA,JAPAN,MOUNTAIN VIEW,Master's,CALIFORNIA,Mountain View,CALIFORNIA
PERM,24-02-2014,29-06-2015,Certified,H-1B,"COMCAST CABLE COMMUNICATIONS, LLC",PHILADELPHIA,PENNSYLVANIA,UNITED STATES OF AMERICA,RUSSIA,PHILADELPHIA,Master's,PENNSYLVANIA,Philadelphia,PENNSYLVANIA
PERM,31-10-2013,23-06-2015,Certified,H-1B,"OMNITRACS, INC.",SAN DIEGO,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SAN DIEGO,Master's,CALIFORNIA,SAN DIEGO,CALIFORNIA
PERM,14-11-2013,01-04-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,ISELIN,Master's,NEW JERSEY,College Station,TEXAS
PERM,07-01-2014,30-06-2015,Certified,H-1B,QUALCOMM TECHNOLOGIES INC.,SAN DIEGO,CALIFORNIA,UNITED STATES OF AMERICA,CHINA,SAN DIEGO,Master's,CALIFORNIA,San Diego,CALIFORNIA
PERM,20-12-2013,29-05-2015,Certified,H-1B,BOR USGA OBO GEORGIA REGENTS UNIVERSITY,AUGUSTA,GEORGIA,UNITED STATES OF AMERICA,SOUTH KOREA,AUGUSTA,Doctorate,GEORGIA,Augusta,GEORGIA
PERM,18-11-2013,03-06-2015,Denied,,"SANDIA CERAMICS, INC.",BRISTOW,VIRGINIA,UNITED STATES OF AMERICA,MEXICO,WOODBRIDGE,None,VIRGINIA,Bristow,VIRGINIA
PERM,12-11-2013,02-06-2015,Certified,H-1B,HORIZON TECHNOLOGIES INC,SUNNYVALE,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,HOOVER,Master's,ALABAMA,Sunnyvale,CALIFORNIA
PERM,11-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,Itta Bena,MISSISSIPPI
PERM,04-12-2013,29-05-2015,Certified,H-1B,"DOMINION DMS, LLC",NORFOLK,VIRGINIA,UNITED STATES OF AMERICA,INDIA,ANN ARBOR,Bachelor's,MICHIGAN,Ann Arbor,MICHIGAN
PERM,14-11-2013,12-05-2015,Certified,H-1B,"BLACKHAWK NETWORK, INC.",PLEASANTON,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,PLEASANTON,Master's,CALIFORNIA,Pleasanton,CALIFORNIA
PERM,24-09-2009,06-05-2015,Denied,,PF CHANGS CHINA BISTRO,DALLAS,TEXAS,UNITED STATES OF AMERICA,MEXICO,RICHARDSON,None,TEXAS,DALLAS,TEXAS
PERM,12-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,BUCHEON-SI,None,,Itta Bena,MISSISSIPPI
PERM,12-11-2013,20-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,POHANG-SI,None,,Itta Bena,MISSISSIPPI
PERM,18-11-2013,11-05-2015,Certified,H-1B,"VERIZON COMMUNICATIONS INC., & ALL ITS SUBSIDIARIES & AFFILIATES",NEW YORK,NEW YORK,UNITED STATES OF AMERICA,INDIA,CHICAGO,Master's,ILLINOIS,Chicago,ILLINOIS
PERM,21-12-2013,12-06-2015,Certified,,"NUVIEW TECHNOLGIES, INC.",ORLANDO,FLORIDA,UNITED STATES OF AMERICA,INDIA,FISHERS,Master's,INDIANA,Orlando,FLORIDA
PERM,14-11-2013,01-04-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,CHARLOTTE,Bachelor's,NORTH CAROLINA,College Station,TEXAS
PERM,19-11-2013,21-05-2015,Certified,H-1B,"JM INFORMATION SYSTEMS,LLC",EDISON,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,ROSEVILLE,Bachelor's,CALIFORNIA,Edison,NEW JERSEY
PERM,09-12-2013,17-06-2015,Certified,H-1B,CREDIT SUISSE SECURITIES (USA) LLC,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,INDIA,APEX,Master's,NORTH CAROLINA,Research Triangle Park,NORTH CAROLINA
PERM,02-01-2014,17-06-2015,Certified,H-1B,ALLEN & COMPANY LLC,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,PHILIPPINES,WOODSIDE,Master's,NEW YORK,New York,NEW YORK
PERM,15-11-2013,08-05-2015,Certified,H-1B,"ORACLE AMERICA, INC.",REDWOOD SHORES,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SUNNYVALE,Bachelor's,CALIFORNIA,Redwood Shores,CALIFORNIA
PERM,26-11-2013,12-05-2015,Certified,H-1B,"ORACLE AMERICA, INC.",REDWOOD SHORES,CALIFORNIA,UNITED STATES OF AMERICA,CHINA,SAN BRUNO,Master's,CALIFORNIA,Redwood Shores,CALIFORNIA
PERM,14-11-2013,01-04-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,EDEN  PRAIRIE,Bachelor's,MINNESOTA,College Station,TEXAS
PERM,24-11-2008,20-05-2015,Denied,EWI,KATHRYN DALSEY DONNELLY,POMFRET,MARYLAND,UNITED STATES OF AMERICA,MEXICO,LA PLATA,None,MARYLAND,POMFRET,MARYLAND
PERM,13-11-2013,31-03-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,AVENEL,Bachelor's,NEW JERSEY,College Station,TEXAS
PERM,11-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,GOSEONG-GUN,None,,Itta Bena,MISSISSIPPI
PERM,29-05-2014,06-10-2014,Certified-Expired,H-1B,"INSIDERSREFERRAL.COM, INC.",AUSTIN,TEXAS,UNITED STATES OF AMERICA,CHINA,AUSTIN,Bachelor's,TEXAS,Austin,TEXAS
PERM,13-11-2013,27-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,ALPHARETTA,Bachelor's,GEORGIA,College Station,TEXAS
PERM,28-10-2008,15-05-2015,Denied,B-2,JESSICA CONTRASTANO,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,GUYANA,OZONE PARK,None,NEW YORK,NEW YORK,NEW YORK
PERM,20-01-2014,21-07-2015,Denied,TN,POLYPLEX USA LLC,DECATUR,ALABAMA,UNITED STATES OF AMERICA,INDIA,SOCIAL CIRCLE,Bachelor's,GEORGIA,Decatur,ALABAMA
PERM,18-11-2013,15-05-2015,Certified,H-1B,FORTRESS INVESTMENT GROUP LLC,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,CHINA,ELMHURST,Master's,NEW YORK,New York,NEW YORK
PERM,30-10-2013,18-05-2015,Denied,B-2,"WHARTON SUPPLY OF VIRGINIA, INC",SPRINGFIELD,VIRGINIA,UNITED STATES OF AMERICA,PHILIPPINES,BOWIE,Bachelor's,MARYLAND,CLINTON,MARYLAND
PERM,11-12-2013,04-06-2015,Certified,H-1B,"ELECTRONICS FOR IMAGING, INC.",FREMONT,CALIFORNIA,UNITED STATES OF AMERICA,AUSTRALIA,SAN MATEO,High School,CALIFORNIA,Foster City,CALIFORNIA
PERM,19-06-2014,12-11-2014,Certified-Expired,H-1B,STORCH NUTRITIONAL MEDICINE ASSOCIATES,FLORHAM PARK,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,HUNTINGDON VALLEY,Other,PENNSYLVANIA,Florham Park,NEW JERSEY
PERM,12-12-2013,04-06-2015,Certified,E-2,"LABINAL, LLC",DENTON,TEXAS,UNITED STATES OF AMERICA,FRANCE,EVERETT,Associate's,WASHINGTON,Everett,WASHINGTON
PERM,19-11-2013,21-05-2015,Certified,H-1B,DELL PRODUCTS LP,ROUND ROCK,TEXAS,UNITED STATES OF AMERICA,INDIA,ROUND ROCK,Bachelor's,TEXAS,Round Rock,TEXAS
PERM,14-11-2013,01-04-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,NEW CITY,Bachelor's,NEW YORK,College Station,TEXAS
PERM,12-11-2013,30-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,MARLTON,Bachelor's,NEW JERSEY,College Station,TEXAS
PERM,13-11-2013,31-03-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,ATLANTA,Bachelor's,GEORGIA,College Station,TEXAS
PERM,03-12-2013,04-06-2015,Certified,F-1,BOGHOS KALAIDJIAN /DBATDK DESIGNS,CARLSBAD,CALIFORNIA,UNITED STATES OF AMERICA,ISRAEL,NEW YORK,None,NEW YORK,Carlsbad,CALIFORNIA
PERM,12-11-2013,31-03-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,CYPRESS,Bachelor's,CALIFORNIA,College Station,TEXAS
PERM,14-11-2013,08-06-2015,Denied,H-1B,NATIONAL CONSULTING GROUP INC,PISCATAWAY,NEW JERSEY,UNITED STATES OF AMERICA,NEPAL,NEW YORK,Bachelor's,NEW YORK,Piscataway,NEW JERSEY
PERM,12-11-2013,25-09-2015,Certified,H-1B,DGN TECHNOLOGIES INC.,FREMONT,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SANTA CLARA,Bachelor's,CALIFORNIA,FREMONT,CALIFORNIA
PERM,13-11-2013,27-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,WATERLOO,Master's,IOWA,College Station,TEXAS
PERM,14-11-2013,01-04-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,WOODBURY,Bachelor's,MINNESOTA,College Station,TEXAS
PERM,11-11-2013,28-05-2015,Denied,H-1B,"PRECO, INC.",SCOTTSDALE,ARIZONA,UNITED STATES OF AMERICA,CANADA,WINTER SPRINGS,Other,FLORIDA,Winter Springs,FLORIDA
PERM,13-11-2013,27-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,ALDIE,Bachelor's,VIRGINIA,College Station,TEXAS
PERM,27-11-2013,11-05-2015,Certified,H-1B,"ORACLE AMERICA, INC.",REDWOOD SHORES,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,FREMONT,Master's,CALIFORNIA,Redwood Shores,CALIFORNIA
PERM,12-11-2013,31-03-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,MANCHESTER,Bachelor's,CONNECTICUT,College Station,TEXAS
PERM,15-11-2013,06-07-2015,Denied,H-1B,UNIVERSITY OF TENNESSEE HEALTH SCIENCE CENTER,MEMPHIS,TENNESSEE,UNITED STATES OF AMERICA,INDIA,MEMPHIS,Master's,TENNESSEE,Memphis,TENNESSEE
PERM,27-11-2013,20-05-2015,Certified,E-2,"VEHMA INTERNATIONAL OF AMERICA, INC.",TROY,MICHIGAN,UNITED STATES OF AMERICA,CANADA,ROYAL OAK,Master's,MICHIGAN,Troy,MICHIGAN
PERM,12-11-2013,31-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,MASON,Bachelor's,OHIO,College Station,TEXAS
PERM,25-11-2013,29-05-2015,Certified,H-1B,PEGASYSTEMS INC.,CAMBRIDGE,MASSACHUSETTS,UNITED STATES OF AMERICA,INDIA,GOFFSTOWN,Master's,NEW HAMPSHIRE,BEDFORD,NEW HAMPSHIRE
PERM,13-11-2013,30-03-2015,Certified-Expired,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,EAST RUTHERFORD,Bachelor's,NEW JERSEY,College Station,TEXAS
PERM,09-04-2014,06-08-2015,Denied,,"HOUSE OF RAEFORD FARMS, INC",WEST COLUMBIA,SOUTH CAROLINA,UNITED STATES OF AMERICA,SOUTH KOREA,SEOUL,None,,West Columbia,SOUTH CAROLINA
PERM,11-11-2013,18-05-2015,Denied,,"AMERICA'S CATCH, INC.",ITTA BENA,MISSISSIPPI,UNITED STATES OF AMERICA,SOUTH KOREA,BUSAN,None,,Itta Bena,MISSISSIPPI
PERM,06-12-2013,19-06-2015,Certified,L-1,ASE (U.S.) INC.,SUNNYVALE,CALIFORNIA,UNITED STATES OF AMERICA,CHINA,FREMONT,Master's,CALIFORNIA,Sunnyvale,CALIFORNIA
PERM,12-11-2013,02-10-2014,Withdrawn,H-1B,UNIVERSITY OF IOWA,IOWA CITY,IOWA,UNITED STATES OF AMERICA,BRAZIL,CORALVILLE,Doctorate,IOWA,Iowa City,IOWA
PERM,13-11-2013,27-03-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,SAN JOSE,Bachelor's,CALIFORNIA,College Station,TEXAS
PERM,18-11-2013,04-06-2015,Certified,H-1B,SEARS HOLDINGS MANAGEMENT CORPORATION,HOFFMAN ESTATES,ILLINOIS,UNITED STATES OF AMERICA,INDIA,BARTLETT,Master's,ILLINOIS,Hoffman Estates,ILLINOIS
PERM,13-11-2013,27-03-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,WOBURN,Bachelor's,MASSACHUSETTS,College Station,TEXAS
PERM,12-11-2013,13-05-2015,Certified,H-1B,"THE SAKE CLUB, INC.",NEW YORK,NEW YORK,UNITED STATES OF AMERICA,JAPAN,NEW YORK,Bachelor's,NEW YORK,New York,NEW YORK
PERM,23-12-2013,08-06-2015,Certified,H-1B,MICROSOFT CORPORATION,REDMOND,WASHINGTON,UNITED STATES OF AMERICA,INDIA,REDMOND,Master's,WASHINGTON,Redmond,WASHINGTON
PERM,19-12-2014,19-06-2015,Denied,F-1,WASHINGTON STATE UNIVERSITY,PULLMAN,WASHINGTON,UNITED STATES OF AMERICA,RUSSIA,PULLMAN,Doctorate,WASHINGTON,Pullman,WASHINGTON
PERM,17-01-2014,09-06-2015,Certified,Parolee,"CAREFIRST OF MARYLAND, INC. D/B/A CAREFIRST BLUECR",OWINGS MILLS,MARYLAND,UNITED STATES OF AMERICA,INDIA,ELKRIDGE,Master's,MARYLAND,Owings Mills,MARYLAND
PERM,26-06-2014,24-11-2014,Certified-Expired,H-1B,UNIVERSITY OF WISCONSIN-MILWAUKEE,MILWAUKEE,WISCONSIN,UNITED STATES OF AMERICA,CHINA,SHOREWOOD,Doctorate,WISCONSIN,Milwaukee,WISCONSIN
PERM,13-11-2013,27-03-2015,Certified-Expired,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,CHICAGO,Master's,ILLINOIS,College Station,TEXAS
PERM,16-07-2008,15-05-2015,Denied,H-1B,IBM CORPORATION,RTP,NORTH CAROLINA,UNITED STATES OF AMERICA,INDIA,AUSTIN,Bachelor's,TEXAS,Austin,TEXAS
