application_type,case_received_date,decision_date,case_status,class_of_admission,employer_name,employer_city,employer_state,employer_country,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_state,job_info_work_city,job_info_work_state
ONLINE,12-02-2015,08-09-2015,Certified,,TAYLOR FARMS MARYLAND INC.,ANNAPOLIS JUNCTION,MARYLAND,UNITED STATES OF AMERICA,EL SALVADOR,HYATTSVILLE,High School,MARYLAND,Annapolis Junction,MARYLAND
ONLINE,12-12-2014,02-03-2015,Withdrawn,H-1B,CORAID,REDWOOD CITY,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SANTA CLARA,Bachelor's,CALIFORNIA,Redwood City,CALIFORNIA
ONLINE,04-12-2014,17-06-2015,Certified,H-1B,GYANSYS INC,CARMEL,INDIANA,UNITED STATES OF AMERICA,INDIA,WHITE BEAR LAKE,Master's,MINNESOTA,INDIANAPOLIS,INDIANA
ONLINE,16-02-2015,08-09-2015,Certified,E-2,SEEBURGER INC.,ATLANTA,GEORGIA,UNITED STATES OF AMERICA,GERMANY,ATLANTA,Bachelor's,GEORGIA,Atlanta,GEORGIA
ONLINE,25-02-2015,11-09-2015,Certified,H-1B,DELL SOFTWARE INC,ROUND ROCK,TEXAS,UNITED STATES OF AMERICA,INDIA,MCKINNEY,Bachelor's,TEXAS,Round Rock,TEXAS
ONLINE,25-02-2015,11-09-2015,Certified,H-1B,JUNIPER NETWORKS,SUNNYVALE,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SUNNYVALE,Bachelor's,CALIFORNIA,Sunnyvale,CALIFORNIA
ONLINE,16-02-2015,10-09-2015,Certified,H-1B,"V-SOFT CONSULTING GROUP, INC.",LOUISVILLE,KENTUCKY,UNITED STATES OF AMERICA,INDIA,DALLAS,Bachelor's,TEXAS,Louisville,KENTUCKY
ONLINE,24-02-2015,11-09-2015,Certified,H-1B,QUEST DIAGNOSTICS INCORPORATED,MADISON,NEW JERSEY,UNITED STATES OF AMERICA,PHILIPPINES,CULVER,Bachelor's,CALIFORNIA,San Juan Capistrano,CALIFORNIA
ONLINE,15-02-2015,11-09-2015,Certified,H-1B,"RAMPS INTERNATIONAL, INC",EDISON,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,EDISON,Bachelor's,NEW JERSEY,EDISON,NEW JERSEY
ONLINE,09-12-2014,14-08-2015,Certified,H-1B,StayWell Health Center,Waterbury,CONNECTICUT,UNITED STATES OF AMERICA,COSTA RICA,NEW HAVEN,Other,CONNECTICUT,Waterbury,CONNECTICUT
ONLINE,11-12-2014,08-07-2015,Certified,,"Acadaca, Llc",New York,NEW YORK,UNITED STATES OF AMERICA,MEXICO,ASTORIA,Master's,NEW YORK,New York,NEW YORK
ONLINE,05-12-2014,18-06-2015,Certified,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,BLOOMFIELD,Bachelor's,NEW JERSEY,College Station,TEXAS
ONLINE,05-12-2014,08-07-2015,Certified,L-1,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,NEWARK,Bachelor's,DELAWARE,College Station,TEXAS
ONLINE,04-12-2014,11-05-2015,Withdrawn,H-1B,WIPRO LIMITED,EAST BRUNSWICK,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,LONE TREE,Bachelor's,COLORADO,East Brunswick,NEW JERSEY
ONLINE,18-12-2014,20-07-2015,Certified,H-1B,THE NEW YORK TIMES COMPANY,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,CANADA,BROOKLYN,Bachelor's,NEW YORK,New York,NEW YORK
ONLINE,24-03-2015,21-09-2015,Certified,H-1B,"COYOTE LOGISTICS, LLC",CHICAGO,ILLINOIS,UNITED STATES OF AMERICA,INDIA,CHICAGO,Master's,ILLINOIS,Chicago,ILLINOIS
ONLINE,14-01-2015,05-08-2015,Certified,H-1B,"D. E. SHAW & CO., L.P.",NEW YORK,NEW YORK,UNITED STATES OF AMERICA,CHINA,JERSEY CITY,Master's,NEW JERSEY,New York,NEW YORK
ONLINE,15-01-2015,05-08-2015,Certified,H-1B,CGI TECHNOLOGIES AND SOLUTIONS INC.,FAIRFAX,VIRGINIA,UNITED STATES OF AMERICA,INDIA,HERNDON,Bachelor's,VIRGINIA,Fairfax,VIRGINIA
ONLINE,16-02-2015,14-09-2015,Certified,H-1B,SBP CONSULTING INC,MOLINE,ILLINOIS,UNITED STATES OF AMERICA,INDIA,BETTENDORF,Bachelor's,IOWA,Moline,ILLINOIS
ONLINE,26-02-2015,15-09-2015,Certified,H-1B,FLSmidth USA Inc.,Midvale,UTAH,UNITED STATES OF AMERICA,ZAMBIA,SANDY,Bachelor's,UTAH,Midvale,UTAH
ONLINE,23-02-2015,16-09-2015,Certified,F-1,Children Of One World LLC,Carrollton,TEXAS,UNITED STATES OF AMERICA,PAKISTAN,EULESS,Bachelor's,TEXAS,Carrollton,TEXAS
ONLINE,16-03-2015,18-09-2015,Certified,H-1B,GENOME INTERNATIONAL CORPORATION,MADISON,WISCONSIN,UNITED STATES OF AMERICA,INDIA,MILPITAS,Bachelor's,CALIFORNIA,Madison,WISCONSIN
ONLINE,23-02-2015,01-09-2015,Certified,TN,"AQ Pharmaceuticals, Inc",Garden Grove,CALIFORNIA,UNITED STATES OF AMERICA,VIETNAM,IRVINE,Master's,CALIFORNIA,Garden Grove,CALIFORNIA
ONLINE,06-03-2015,18-09-2015,Certified,L-1,DELOITTE CONSULTING LLP,PHILADELPHIA,PENNSYLVANIA,UNITED STATES OF AMERICA,INDIA,RICHARDSON,Bachelor's,TEXAS,Dallas,TEXAS
ONLINE,19-02-2015,03-09-2015,Certified,H-1B,"SRIVEN TECHNOLOGIES, LLC",HERNDON,VIRGINIA,UNITED STATES OF AMERICA,INDIA,PLANO,Master's,TEXAS,Herndon,VIRGINIA
ONLINE,19-02-2015,03-09-2015,Certified,H-1B,"SRIVEN TECHNOLOGIES, LLC",HERNDON,VIRGINIA,UNITED STATES OF AMERICA,INDIA,LOMBARD,Master's,ILLINOIS,Herndon,VIRGINIA
ONLINE,25-02-2015,28-08-2015,Certified,H-1B,AXWAY INC.,PHOENIX,ARIZONA,UNITED STATES OF AMERICA,INDIA,PLANO,Master's,TEXAS,Phoenix,ARIZONA
ONLINE,20-02-2015,04-09-2015,Certified,H-1B,"FITBIT, INC.",SAN FRANCISCO,CALIFORNIA,UNITED STATES OF AMERICA,RUSSIA,DUBLIN,None,CALIFORNIA,San Francisco,CALIFORNIA
ONLINE,05-12-2014,12-06-2015,Certified,L-1,TEXAS INSTRUMENTS INCORPORATED,DALLAS,TEXAS,UNITED STATES OF AMERICA,TAIWAN,NEWARK,Master's,CALIFORNIA,Santa Clara,CALIFORNIA
ONLINE,12-12-2014,09-07-2015,Certified,H-1B,MAANTIC INC.,SUNNYVALE,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,SANTA CLARA,Bachelor's,CALIFORNIA,Sunnyvale,CALIFORNIA
ONLINE,01-12-2014,16-06-2015,Certified,H-1B,SILVER PEAK SOLUTIONS INC.,AUSTIN,TEXAS,UNITED STATES OF AMERICA,INDIA,MOUNT PROSPECT,Bachelor's,ILLINOIS,Austin,TEXAS
ONLINE,19-03-2015,30-09-2015,Certified,H-1B,"T-MOBILE USA, INC.",BELLEVUE,WASHINGTON,UNITED STATES OF AMERICA,INDIA,LEONIA,Master's,NEW JERSEY,Parsippany,NEW JERSEY
ONLINE,29-12-2014,03-08-2015,Certified,H-1B,SAPVIX INC,DOYLESTOWN,PENNSYLVANIA,UNITED STATES OF AMERICA,INDIA,FREMONT,Master's,CALIFORNIA,doylestown,PENNSYLVANIA
